adapter,budget_hit,error,evicted_kv_mib,extra_arrival_index,extra_backend,extra_bits,extra_builtin_request_fallback,extra_cache_rebuild_reason,extra_cache_reused,extra_effective_prompt_chars,extra_env,extra_family,extra_gpu0_peak_memory_mib,extra_gpu1_peak_memory_mib,extra_h2o_cache_budget,extra_h2o_heavy_ratio,extra_h2o_heavy_size,extra_h2o_kept_tokens,extra_h2o_mask_events,extra_h2o_prompt_tokens,extra_h2o_prune_events,extra_h2o_recent_ratio,extra_h2o_recent_size,extra_history_turns,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_kernel_calls,extra_kivi_quantization_triggered,extra_kivi_quantize_calls,extra_kivi_quantized_layers,extra_kivi_quantized_tokens,extra_kivi_residual_length,extra_max_new_tokens,extra_metric_loss_em,extra_metric_loss_f1,extra_metric_loss_rouge_l,extra_model,extra_primary_metric,extra_profile_note,extra_prompt_text,extra_prompt_tokens,extra_reference,extra_request_source,extra_stage_decode_ms,extra_stage_first_token_ms,extra_stage_generate_ms,extra_stage_model_load_ms,extra_stage_prefill_ms,extra_stage_startup_ms,extra_stage_tokenize_ms,extra_stage_total_ms,extra_stage_transfer_ms,extra_ttft_semantics,extra_worker_mode,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,recompute_ms,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,session_id,split,task,ttft_ms,turn_index
full,False,,0.0,10,qwen2_exact_runtime,,false,,,115,tailguardkv-base,full,7531.42626953125,7537.205078125,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context:
Session D arrives while other sessions are still active.

Question:
Why can that trigger eviction?
Answer:",,because the global resident KV budget may be exceeded when multiple sessions overlap,data/fixtures/pilot_session_trace_requests.jsonl,0.0,52.80749872326851,625.2221539616585,15291.484091430902,52.1232970058918,1915.7267659902573,0.4461817443370819,626.0446570813656,0.11262297630310059,first_token,persistent,2.0234375,2.0234375,2.0234375,626.0446570813656,medium,True,True,"![](https://i.stack.imgur.com!R6666.png)

",15068.63134765625,full_gpu,0.0,1.0,0.0,session_d_turn_000__pressure_r1_c1,2.0234375,0.0,7762.15625,0.0,session-d__pressure_r1_c1,calibration,qa,52.80749872326851,0
full,False,,0.0,11,qwen2_exact_runtime,,false,,,115,tailguardkv-base,full,7532.43798828125,7538.216796875,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context:
Session D arrives while other sessions are still active.

Question:
Why can that trigger eviction?
Answer:",,because the global resident KV budget may be exceeded when multiple sessions overlap,data/fixtures/pilot_session_trace_requests.jsonl,0.0,51.90807953476906,629.2731389403343,15291.484091430902,51.43636092543602,1915.7267659902573,0.2834610641002655,629.8634298145771,0.0911615788936615,first_token,persistent,2.0234375,2.0234375,2.0234375,629.8634298145771,medium,True,True,"![](https://i.stack.imgur.com!R6666.png)

",15070.65478515625,full_gpu,0.0,1.0,0.0,session_d_turn_000__pressure_r1_c2,2.0234375,0.0,7762.15625,0.0,session-d__pressure_r1_c2,calibration,qa,51.90807953476906,0
full,False,,0.0,12,qwen2_exact_runtime,,false,,,504,tailguardkv-base,full,7585.5390625,7611.546875,,,,,,,,,,"[""User: Context:\nTailGuardKV keeps per-session KV state.\n\nQuestion:\nWhat does resident KV mean?\nAnswer:"", ""Assistant: resident KV is the portion of cached key/value state still kept in memory"", ""User: Context:\nTailGuardKV tracks offloaded and dropped state separately.\n\nQuestion:\nWhich one causes recompute?\nAnswer:"", ""Assistant: dropped state causes recompute when the session returns""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context:
Session A returns after other sessions have occupied memory.

Question:
What happens if its state was offloaded?
Answer:",,the system performs a restore before continuing,data/fixtures/pilot_session_trace_requests.jsonl,0.0,69.98645514249802,639.4216157495975,15291.484091430902,69.09879297018051,1915.7267659902573,0.6946958601474762,640.4138617217541,0.09315460920333862,first_token,persistent,6.3984375,6.3984375,2.1328125,640.4138617217541,medium,True,True," 
If! the!! state!! of!!!!!!",15197.0859375,full_gpu,0.0,1.0,0.0,session_a_turn_002__pressure_r1_c1,6.3984375,4.265625,7762.15625,0.0,session-a__pressure_r1_c1,eval,qa,69.98645514249802,2
full,False,,0.0,13,qwen2_exact_runtime,,false,,,504,tailguardkv-base,full,7588.73828125,7614.74609375,,,,,,,,,,"[""User: Context:\nTailGuardKV keeps per-session KV state.\n\nQuestion:\nWhat does resident KV mean?\nAnswer:"", ""Assistant: resident KV is the portion of cached key/value state still kept in memory"", ""User: Context:\nTailGuardKV tracks offloaded and dropped state separately.\n\nQuestion:\nWhich one causes recompute?\nAnswer:"", ""Assistant: dropped state causes recompute when the session returns""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context:
Session A returns after other sessions have occupied memory.

Question:
What happens if its state was offloaded?
Answer:",,the system performs a restore before continuing,data/fixtures/pilot_session_trace_requests.jsonl,0.0,67.96060130000114,624.8205676674843,15291.484091430902,67.32567027211189,1915.7267659902573,0.4551149904727936,625.5625188350677,0.086955726146698,first_token,persistent,6.3984375,6.3984375,2.1328125,625.5625188350677,medium,True,True," 
If! the!! state!! of!!!!!!",15203.484375,full_gpu,0.0,1.0,0.0,session_a_turn_002__pressure_r1_c2,6.3984375,4.265625,7762.15625,0.0,session-a__pressure_r1_c2,eval,qa,67.96060130000114,2
full,False,,0.0,14,qwen2_exact_runtime,,false,,,512,tailguardkv-base,full,7583.970703125,7607.166015625,,,,,,,,,,"[""User: Summarize:\nSession C carries a longer report about memory budgeting across many concurrent conversations. It emphasizes that the system should separate policy-level filtering from backend budget hits.\nSummary:"", ""Assistant: The report distinguishes policy budget filtering from real backend budget hits under concurrency.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact qwen2 runtime,"Summarize:
The second turn of session C explains that a resident trace should show global resident KV near the configured budget and expose queueing if pressure remains too high.
Summary:",,A good trace shows resident KV near budget and may expose queueing under sustained pressure.,data/fixtures/pilot_session_trace_requests.jsonl,0.0,66.66012853384018,620.821874588728,15291.484091430902,65.80924987792969,1915.7267659902573,0.6701163947582245,621.7802911996841,0.08540600538253784,first_token,persistent,5.796875,5.796875,3.0078125,621.7802911996841,long,True,True," 
Session C's! second!!!!! turn! suggests! that",15191.13671875,full_gpu,0.0,1.0,0.0,session_c_turn_001__pressure_r1_c1,5.796875,2.7890625,7762.15625,0.0,session-c__pressure_r1_c1,eval,summary,66.66012853384018,1
full,False,,0.0,15,qwen2_exact_runtime,,false,,,512,tailguardkv-base,full,7586.869140625,7610.064453125,,,,,,,,,,"[""User: Summarize:\nSession C carries a longer report about memory budgeting across many concurrent conversations. It emphasizes that the system should separate policy-level filtering from backend budget hits.\nSummary:"", ""Assistant: The report distinguishes policy budget filtering from real backend budget hits under concurrency.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact qwen2 runtime,"Summarize:
The second turn of session C explains that a resident trace should show global resident KV near the configured budget and expose queueing if pressure remains too high.
Summary:",,A good trace shows resident KV near budget and may expose queueing under sustained pressure.,data/fixtures/pilot_session_trace_requests.jsonl,0.0,65.82055985927582,619.3280480802059,15291.484091430902,65.20479172468185,1915.7267659902573,0.4395619034767151,620.0548149645329,0.08735060691833496,first_token,persistent,5.796875,5.796875,3.0078125,620.0548149645329,long,True,True," 
Session C's! second!!!!! turn! suggests! that",15196.93359375,full_gpu,0.0,1.0,0.0,session_c_turn_001__pressure_r1_c2,5.796875,2.7890625,7762.15625,0.0,session-c__pressure_r1_c2,eval,summary,65.82055985927582,1
full,False,,0.0,16,qwen2_exact_runtime,,false,,,131,tailguardkv-base,full,7546.93603515625,7551.470703125,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context:
Session E is another concurrent request stream.

Question:
What metric should increase when global pressure rises?
Answer:",,budget hit rate should increase as global pressure rises,data/fixtures/pilot_session_trace_requests.jsonl,0.0,51.53576657176018,604.4346280395985,15291.484091430902,51.07160285115242,1915.7267659902573,0.2833157777786255,605.0138249993324,0.07985904812812805,first_token,persistent,2.078125,2.078125,2.078125,605.0138249993324,short,True,True, The! number! of!!!!! concurrent!!! requests!,15098.40673828125,full_gpu,0.0,1.0,0.0,session_e_turn_000__pressure_r1_c1,2.078125,0.0,7762.15625,0.0,session-e__pressure_r1_c1,eval,qa,51.53576657176018,0
full,False,,0.0,17,qwen2_exact_runtime,,false,,,131,tailguardkv-base,full,7547.97509765625,7552.509765625,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context:
Session E is another concurrent request stream.

Question:
What metric should increase when global pressure rises?
Answer:",,budget hit rate should increase as global pressure rises,data/fixtures/pilot_session_trace_requests.jsonl,0.0,51.4223538339138,607.2395779192448,15291.484091430902,51.038987934589386,1915.7267659902573,0.21303072571754456,607.7323332428932,0.08102133870124817,first_token,persistent,2.078125,2.078125,2.078125,607.7323332428932,short,True,True, The! number! of!!!!! concurrent!!! requests!,15100.48486328125,full_gpu,0.0,1.0,0.0,session_e_turn_000__pressure_r1_c2,2.078125,0.0,7762.15625,0.0,session-e__pressure_r1_c2,eval,qa,51.4223538339138,0
full,False,,0.0,18,qwen2_exact_runtime,,false,,,678,tailguardkv-base,full,7620.00830078125,7654.1953125,,,,,,,,,,"[""User: Summarize:\nSession B starts with a medium-length document about cache eviction and restore costs. The important point is that offloading saves memory but may add restore latency later.\nSummary:"", ""Assistant: Offloading reduces memory pressure but can add restore latency when the session resumes."", ""User: Summarize:\nThe follow-up for session B discusses how restore events can increase TTFT even when average memory drops.\nSummary:"", ""Assistant: Restore events can raise TTFT even if average memory usage goes down.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact qwen2 runtime,"Summarize:
Session B comes back after partial eviction. The system may need to restore or recompute part of its KV cache before generating the next answer.
Summary:",,"When session B returns after eviction, the backend may restore or recompute cached state.",data/fixtures/pilot_session_trace_requests.jsonl,0.0,88.10629695653915,658.8205508887768,15291.484091430902,87.21086010336876,1915.7267659902573,0.6889589130878448,659.8372347652912,0.1126416027545929,first_token,persistent,8.1484375,8.1484375,2.84375,659.8372347652912,medium,True,True," 
Session B!! After!!!!!!! partial! eviction",15274.20361328125,full_gpu,0.0,1.0,0.0,session_b_turn_002__pressure_r1_c1,8.1484375,5.3046875,7762.15625,0.0,session-b__pressure_r1_c1,eval,summary,88.10629695653915,2
full,False,,0.0,19,qwen2_exact_runtime,,false,,,678,tailguardkv-base,full,7624.08251953125,7658.26953125,,,,,,,,,,"[""User: Summarize:\nSession B starts with a medium-length document about cache eviction and restore costs. The important point is that offloading saves memory but may add restore latency later.\nSummary:"", ""Assistant: Offloading reduces memory pressure but can add restore latency when the session resumes."", ""User: Summarize:\nThe follow-up for session B discusses how restore events can increase TTFT even when average memory drops.\nSummary:"", ""Assistant: Restore events can raise TTFT even if average memory usage goes down.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact qwen2 runtime,"Summarize:
Session B comes back after partial eviction. The system may need to restore or recompute part of its KV cache before generating the next answer.
Summary:",,"When session B returns after eviction, the backend may restore or recompute cached state.",data/fixtures/pilot_session_trace_requests.jsonl,0.0,87.50022202730179,667.678639292717,15291.484091430902,86.69659495353699,1915.7267659902573,0.6062202155590057,668.6050929129124,0.09609013795852661,first_token,persistent,8.1484375,8.1484375,2.84375,668.6050929129124,medium,True,True," 
Session B!! After!!!!!!! partial! eviction",15282.35205078125,full_gpu,0.0,1.0,0.0,session_b_turn_002__pressure_r1_c2,8.1484375,5.3046875,7762.15625,0.0,session-b__pressure_r1_c2,eval,summary,87.50022202730179,2
full,False,,0.0,20,qwen2_exact_runtime,,false,,,354,tailguardkv-base,full,7557.38671875,7573.423828125,,,,,,,,,,"[""User: Context:\nSession D arrives while other sessions are still active.\n\nQuestion:\nWhy can that trigger eviction?\nAnswer:"", ""Assistant: because the global resident KV budget may be exceeded when multiple sessions overlap""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context:
Session D continues after a crowded interval.

Question:
What backend behavior should differ from independent requests?
Answer:",,"interleaved sessions should trigger eviction, restore, recompute, or queue behavior that independent requests do not show",data/fixtures/pilot_session_trace_requests.jsonl,0.0,59.120409190654755,634.5006041228771,15291.484091430902,58.39480087161064,1915.7267659902573,0.537332147359848,635.3502348065376,0.09355694055557251,first_token,persistent,4.265625,4.265625,2.2421875,635.3502348065376,medium,True,True," 
The! backend!!! should! !handle!! Session!!",15130.810546875,full_gpu,0.0,1.0,0.0,session_d_turn_001__pressure_r1_c1,4.265625,2.0234375,7762.15625,0.0,session-d__pressure_r1_c1,eval,qa,59.120409190654755,1
full,False,,0.0,21,qwen2_exact_runtime,,false,,,354,tailguardkv-base,full,7559.51953125,7575.556640625,,,,,,,,,,"[""User: Context:\nSession D arrives while other sessions are still active.\n\nQuestion:\nWhy can that trigger eviction?\nAnswer:"", ""Assistant: because the global resident KV budget may be exceeded when multiple sessions overlap""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context:
Session D continues after a crowded interval.

Question:
What backend behavior should differ from independent requests?
Answer:",,"interleaved sessions should trigger eviction, restore, recompute, or queue behavior that independent requests do not show",data/fixtures/pilot_session_trace_requests.jsonl,0.0,59.04591083526611,636.3656036555767,15291.484091430902,58.48732218146324,1915.7267659902573,0.3811158239841461,637.0369419455528,0.08730217814445496,first_token,persistent,4.265625,4.265625,2.2421875,637.0369419455528,medium,True,True," 
The! backend!!! should! !handle!! Session!!",15135.076171875,full_gpu,0.0,1.0,0.0,session_d_turn_001__pressure_r1_c2,4.265625,2.0234375,7762.15625,0.0,session-d__pressure_r1_c2,eval,qa,59.04591083526611,1
full,False,,0.0,22,qwen2_exact_runtime,,false,,,802,tailguardkv-base,full,7614.66259765625,7651.40625,,,,,,,,,,"[""User: Summarize:\nSession C carries a longer report about memory budgeting across many concurrent conversations. It emphasizes that the system should separate policy-level filtering from backend budget hits.\nSummary:"", ""Assistant: The report distinguishes policy budget filtering from real backend budget hits under concurrency."", ""User: Summarize:\nThe second turn of session C explains that a resident trace should show global resident KV near the configured budget and expose queueing if pressure remains too high.\nSummary:"", ""Assistant: A good trace shows resident KV near budget and may expose queueing under sustained pressure.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact qwen2 runtime,"Summarize:
The final session C turn closes the trace by comparing action distributions under different budgets and checking whether backend events align with the raw CSV.
Summary:",,The final turn checks that budget-dependent action shifts align with backend events in the raw CSV.,data/fixtures/pilot_session_trace_requests.jsonl,0.0,90.28621017932892,640.588253736496,15291.484091430902,89.29554373025894,1915.7267659902573,0.79398974776268,641.6934803128242,0.0911131501197815,first_token,persistent,8.6953125,8.6953125,2.8984375,641.6934803128242,long,True,True," 
The! final!!!!!! session!! C! turn",15266.06884765625,full_gpu,0.0,1.0,0.0,session_c_turn_002__pressure_r1_c1,8.6953125,5.796875,7762.15625,0.0,session-c__pressure_r1_c1,eval,summary,90.28621017932892,2
